日付,摘要,収入,支出,勘定科目1,勘定科目2,入金日
2025-10-01,前年度より繰越,,,,,
2025-10-10,清掃 徳里住建,10500,,委託作業,清掃,2025-10-10
2025-10-10,利用者工賃,,714007,利用者工賃,,
2025-10-10,教会清掃代,5000,,委託作業,清掃,
2025-10-22,焼菓子販売（からはーい）,11618,,商品販売,焼菓子販売,2025-10-22
2025-10-31,焼菓子販売（本社売上分）,29590,,商品販売,焼菓子販売,
2025-10-31,焼菓子販売,230808,,商品販売,焼菓子販売,2025-10-31
2025-10-31,焼菓子販売（クレジット、QR決済）,51480,,商品販売,焼菓子販売,
2025-10-31,ドリンク販売,5760,,商品販売,ドリンク,2025-10-31
2025-10-31,手工芸,4200,,商品販売,手工芸,2025-10-31
2025-10-31,弁当代（GHトグチ）,370200,,弁当販売,,
2025-10-31,弁当代,909000,,弁当販売,,
2025-10-31,山香,6160,,委託作業,シール貼り作業,2025-10-31
2025-10-31,雑収入,80,,商品販売,焼菓子販売,2025-10-31
2025-10-22,焼菓子販売（嘉手納町役場）,1100,,商品販売,焼菓子販売,2025-10-22
2025-11-10,清掃 徳里住建,10500,,委託作業,清掃,2025-11-10
2025-11-10,利用者工賃,,644130,利用者工賃,,
2025-11-10,教会清掃代,5000,,委託作業,清掃,
2025-11-20,焼菓子販売（からはーい）,6947,,商品販売,焼菓子販売,2025-11-20
2025-11-30,焼菓子販売（本社売上分）,5640,,商品販売,焼菓子販売,
2025-11-30,焼菓子販売,123757,,商品販売,焼菓子販売,2025-11-30
2025-11-30,焼菓子販売（クレジット、QR決済）,43047,,商品販売,焼菓子販売,
2025-11-30,ドリンク販売,5240,,商品販売,ドリンク,2025-11-30
2025-11-30,手工芸,15560,,商品販売,手工芸,2025-11-30
2025-11-30,弁当代（GHトグチ）,834600,,弁当販売,,
2025-11-30,弁当代,324000,,弁当販売,,
2025-11-30,山香,8448,,委託作業,シール貼り作業,2025-11-30
2025-11-30,雑収入,10,,商品販売,焼菓子販売,2025-11-30
2025-11-20,焼菓子販売（嘉手納町役場）,590,,商品販売,焼菓子販売,2025-11-20
2025-12-10,清掃 徳里住建,10500,,委託作業,清掃,2026-12-10
2025-12-10,利用者工賃,,705211,利用者工賃,,
2025-12-10,教会清掃代,5000,,委託作業,清掃,
2025-12-20,焼菓子販売（からはーい）,6119,,商品販売,焼菓子販売,2026-12-20
2025-12-30,焼菓子販売（本社売上分）,199232,,商品販売,焼菓子販売,
2025-12-30,焼菓子販売,262298,,商品販売,焼菓子販売,2026-12-29
2025-12-30,焼菓子販売（クレジット、QR決済）,44300,,商品販売,焼菓子販売,
2025-12-30,ドリンク販売,4320,,商品販売,ドリンク,2026-12-29
2025-12-30,手工芸,17812,,商品販売,手工芸,2026-12-29
2025-12-30,"弁当代（GHトグチ,HOME渡慶次）",367800,,弁当販売,,
2025-12-30,弁当代,922200,,弁当販売,,
2025-12-30,山香,9339,,委託作業,シール貼り作業,2026-12-29
2025-12-30,焼き菓子販売 訂正処理,-80,,商品販売,焼菓子販売,2026-12-29
2026-01-09,清掃 徳里住建,10500,,委託作業,清掃,2026-01-09
2026-01-09,利用者工賃,,630136,利用者工賃,,
2026-01-09,教会清掃代,5000,,委託作業,清掃,
2026-01-20,焼菓子販売（からはーい）,3374,,商品販売,焼菓子販売,2026-01-20
2026-01-31,焼菓子販売（本社売上分）,29480,,商品販売,焼菓子販売,
2026-01-31,焼菓子販売,105119,,商品販売,焼菓子販売,2026-02-02
